"ID","start_age","grid","death_day","death_age"
375,55,3,11673,86.9808
376,84,1,2871,91.8658
377,69,1,2963,77.1178
378,39,1,20091,94.0438
379,44,2,14265,83.0822
380,85,1,1427,88.9096
381,58,3,10771,87.5096
382,68,3,8533,91.3781
383,47,2,21547,106.0329
384,69,1,9498,95.0219
385,56,1,12381,89.9205
386,79,1,6338,96.3644
387,38,1,12705,72.8082
388,43,1,17219,90.1753
389,34,3,2569,41.0384
390,40,3,4789,53.1205
391,86,1,1178,89.2274
392,44,2,9920,71.1781
393,66,3,3846,76.537
394,70,1,3793,80.3918
395,34,2,20944,91.3808
396,41,2,5863,57.063
397,42,3,13111,77.9205
398,34,1,16258,78.5425
399,35,2,24027,100.8274
400,89,3,2211,95.0575
401,88,1,1044,90.8603
402,36,2,17148,82.9808
403,78,3,1658,82.5425
404,58,2,5217,72.2932
405,48,2,11067,78.3205
406,51,2,14575,90.9315
407,65,3,3768,75.3233
408,33,3,22423,94.4329
409,46,1,10973,76.063
410,63,1,7904,84.6548
411,45,2,8917,69.4301
412,73,1,1879,78.1479
413,40,2,3487,49.5534
414,54,1,13059,89.7781
415,43,1,7260,62.8904
416,39,1,15958,82.7205
417,83,2,2439,89.6822
418,45,1,8832,69.1973
419,53,3,14562,92.8959
420,31,2,18988,83.0219
421,56,2,7385,76.2329
422,61,2,2270,67.2192
423,59,1,9899,86.1205
424,45,2,17971,94.2356
425,77,1,517,78.4164
426,60,1,11205,90.6986
427,44,1,19323,96.9397
428,48,1,12712,82.8274
429,37,2,17699,85.4904
430,75,2,5853,91.0356
431,83,2,1649,87.5178
432,57,3,5266,71.4274
433,45,2,13704,82.5452
434,90,3,180,90.4932
435,41,3,16947,87.4301
436,60,1,6187,76.9507
437,35,2,17927,84.1151
438,53,2,2813,60.7068
439,34,2,13336,70.537
440,37,3,14498,76.7205
441,43,2,8730,66.9178
442,58,3,3246,66.8932
443,66,2,3769,76.326
444,37,1,15645,79.863
445,75,1,101,75.2767
446,65,1,5938,81.2685
447,68,1,1752,72.8
448,36,3,14277,75.1151
449,47,1,10765,76.4932
450,63,1,13197,99.1562
451,55,3,12246,88.5507
452,46,3,8523,69.3507
453,41,2,241,41.6603
454,32,2,5777,47.8274
455,41,1,10580,69.9863
456,77,2,2353,83.4466
457,71,1,7167,90.6356
458,67,1,4918,80.474
459,37,1,14704,77.2849
460,35,3,22708,97.2137
461,86,3,2650,93.2603
462,51,2,4462,63.2247
463,52,3,11734,84.1479
464,37,3,15463,79.3644
465,58,3,12209,91.4493
466,42,3,17601,90.2219
467,40,3,14034,78.4493
468,64,1,7818,85.4192
469,43,3,11948,75.7342
470,71,2,4365,82.9589
471,34,3,21229,92.1616
472,72,2,6562,89.9781
473,50,1,21135,107.9041
474,68,2,726,69.989
475,62,3,8388,84.9808
476,51,3,1318,54.611
477,60,3,7840,81.4795
478,30,3,18559,80.8466
479,40,3,11415,71.274
480,65,3,10305,93.2329
481,40,2,14438,79.5562
482,71,2,4460,83.2192
483,44,1,11093,74.3918
484,64,3,8042,86.0329
485,81,1,5533,96.1589
486,35,3,22086,95.5096
487,36,2,12145,69.274
488,63,3,4889,76.3945
489,50,2,7634,70.9151
490,73,1,7562,93.7178
